code,name,market
2802,味の素,TSE
3110,日東紡績,TSE
3436,ＳＵＭＣＯ,TSE
4062,イビデン,TSE
4063,信越化学工業,TSE
4186,東京応化工業,TSE
4369,トリケミカル研究所,TSE
5108,ブリヂストン,TSE
6098,リクルートホールディングス,TSE
6146,ディスコ,TSE
6254,野村マイクロ・サイエンス,TSE
6273,ＳＭＣ,TSE
6315,ＴＯＷＡ,TSE
6323,ローツェ,TSE
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,TSE
6526,ソシオネクスト,TSE
6590,芝浦メカトロニクス,TSE
6594,ニデック,TSE
6728,アルバック,TSE
6758,ソニーグループ,TSE
6855,日本電子材料,TSE
6857,アドバンテスト,TSE
6871,日本マイクロニクス,TSE
6920,レーザーテック,TSE
6988,日東電工,TSE
7203,トヨタ自動車,TSE
7701,島津製作所,TSE
7729,東京精密,TSE
7735,ＳＣＲＥＥＮホールディングス,TSE
7974,任天堂,TSE
8035,東京エレクトロン,TSE
8058,三菱商事,TSE
8306,三菱ＵＦＪフィナンシャル・グループ,TSE
8316,三井住友フィナンシャルグループ,TSE
8750,第一ライフグループ,TSE
9843,ニトリホールディングス,TSE
9983,ファーストリテイリング,TSE
9984,ソフトバンクグループ,TSE
